а	a
відділився	wj i dj dj i l y w sj a
відділили	wj i dj dj i l y l y
відділилися	wj i dj dj i l y l y sj a
відділилося	wj i dj dj i l y l o sj a
відділися	wj i dj dj i l y sj a
відділите	wj i dj dj i l y t e
відділити	wj i dj dj i l y t y
відділитися	wj i dj dj i l y t y sj a
відділить	wj i dj dj i l y tj
відділиш	wj i dj dj i l y sh
відділом	wj i dj dj i l o m
відділу	wj i dj dj i l u
відділю	wj i dj dj i lj u
відділювали	wj i dj dj i lj u w a l y
відділювати	wj i dj dj i lj u w a t y
відділює	wj i dj dj i lj u j e
відділяв	wj i dj dj i lj a w
відділяйте	wj i dj dj i lj a j t e
відділяти	wj i dj dj i lj a t y
відділять	wj i dj dj i lj a tj
відділяться	wj i dj dj i lj a tsj tsj a
відділяє	wj i dj dj i lj a j e
відділів	wj i dj dj i lj i w
відділіть	wj i dj dj i lj i tj
відділіться	wj i dj dj i lj i tsj tsj a
відер	wj i d e r
віджени	wj i dzh e n y
відживляє	wj i d zh y w lj a j e
віджилим	wj i d zh y l y m
відзвуках	wj i dz z w u k a x
відзначив	wj i dz z n a tsh y w
відкаже	wj i d k a zh e
відкажете	wj i d k a zh e t e
відкажеш	wj i d k a zh e sh
відкажу	wj i d k a zh u
відкажуть	wj i d k a zh u tj
відкажіть	wj i d k a zhj i tj
відказав	wj i d k a z a w
відказала	wj i d k a z a l a
відказали	wj i d k a z a l y
відказати	wj i d k a z a t y
відказував	wj i d k a z u w a w
відказують	wj i d k a z u j u tj
відказує	wj i d k a z u j e
відкидав	wj i d k y d a w
відкидай	wj i d k y d a j
відкидайте	wj i d k y d a j t e
відкидала	wj i d k y d a l a
відкидали	wj i d k y d a l y
відкидало	wj i d k y d a l o
відкидати	wj i d k y d a t y
відкидаю	wj i d k y d a j u
відкидаються	wj i d k y d a j u tsj tsj a
відкидає	wj i d k y d a j e
відкидаєте	wj i d k y d a j e t e
відкидаєш	wj i d k y d a j e sh
відкине	wj i d k y n e
відкинена	wj i d k y n e n a
відкинений	wj i d k y n e n y j
відкиненим	wj i d k y n e n y m
відкинення	wj i d k y n e nj nj a
відкинені	wj i d k y n e nj i
відкинеш	wj i d k y n e sh
відкину	wj i d k y n u
відкинув	wj i d k y n u w
відкинувся	wj i d k y n u w sj a
відкинувши	wj i d k y n u w sh y
відкинули	wj i d k y n u l y
відкинулись	wj i d k y n u l y sj
відкинулися	wj i d k y n u l y sj a
відкинута	wj i d k y n u t a
відкинути	wj i d k y n u t y
відкинутий	wj i d k y n u t y j
відкинь	wj i d k y nj
відкиньмо	wj i d k y nj m o
відкинься	wj i d k y nj sj a
відкиньте	wj i d k y nj t e
відклав	wj i d k l a w
відкладає	wj i d k l a d a j e
відкладається	wj i d k l a d a j e tsj tsj a
відкладений	wj i d k l a d e n y j
відклади	wj i d k l a d y
відкладіть	wj i d k l a dj i tj
відкликавсь	wj i d k l y k a w sj
відкликатися	wj i d k l y k a t y sj a
відкликаюсь	wj i d k l y k a j u sj
відколи	wj i d k o l y
відкопали	wj i d k o p a l y
відкотив	wj i d k o t y w
відкотять	wj i d k o tj a tj
відкрив	wj i d k r y w
відкривав	wj i d k r y w a w
відкривай	wj i d k r y w a j
відкривайте	wj i d k r y w a j t e
відкривалась	wj i d k r y w a l a sj
відкривали	wj i d k r y w a l y
відкривалось	wj i d k r y w a l o sj
відкривати	wj i d k r y w a t y
відкриватися	wj i d k r y w a t y sj a
відкриваю	wj i d k r y w a j u
відкривають	wj i d k r y w a j u tj
відкриваючи	wj i d k r y w a j u tsh y
відкриває	wj i d k r y w a j e
відкриваєте	wj i d k r y w a j e t e
відкривається	wj i d k r y w a j e tsj tsj a
відкриваєш	wj i d k r y w a j e sh
відкрився	wj i d k r y w sj a
відкривши	wj i d k r y w sh y
відкрий	wj i d k r y j
відкрийся	wj i d k r y j sj a
відкрила	wj i d k r y l a
відкрилась	wj i d k r y l a sj
відкрили	wj i d k r y l y
відкрились	wj i d k r y l y sj
відкрилися	wj i d k r y l y sj a
відкрилось	wj i d k r y l o sj
відкрилося	wj i d k r y l o sj a
відкрита	wj i d k r y t a
відкрите	wj i d k r y t e
відкрити	wj i d k r y t y
відкритий	wj i d k r y t y j
відкритим	wj i d k r y t y m
відкритими	wj i d k r y t y m y
відкритих	wj i d k r y t y x
відкрито	wj i d k r y t o
відкритого	wj i d k r y t o h o
відкритому	wj i d k r y t o m u
відкритою	wj i d k r y t o j u
відкриття	wj i d k r y tj tj a
відкриттям	wj i d k r y tj tj a m
відкриті	wj i d k r y tj i
відкрию	wj i d k r y j u
відкриються	wj i d k r y j u tsj tsj a
відкриє	wj i d k r y j e
відкриєте	wj i d k r y j e t e
відкриється	wj i d k r y j e tsj tsj a
відкриєш	wj i d k r y j e sh
відкупи	wj i d k u p y
відкупив	wj i d k u p y w
відкупитель	wj i d k u p y t e lj
відкуплення	wj i d k u p l e nj nj a
відкупленням	wj i d k u p l e nj nj a m
відкуплені	wj i d k u p l e nj i
відкіля	wj i d kj i lj a
відламана	wj i d l a m a n a
відламки	wj i d l a m k y
відлетить	wj i d l e t y tj
відлив	wj i d l y w
відлива	wj i d l y w a
відливанні	wj i d l y w a nj nj i
відливає	wj i d l y w a j e
відлиття	wj i d l y tj tj a
відлиті	wj i d l y tj i
відломив	wj i d l o m y w
відломились	wj i d l o m y l y sj
відломилися	wj i d l o m y l y sj a
відлучалась	wj i d l u tsh a l a sj
відлучатися	wj i d l u tsh a t y sj a
відлучать	wj i d l u tsh a tj
відлучена	wj i d l u tsh e n a
відлучене	wj i d l u tsh e n e
відлучений	wj i d l u tsh e n y j
відлучення	wj i d l u tsh e nj nj a
відлучені	wj i d l u tsh e nj i
відлучи	wj i d l u tsh y
відлучився	wj i d l u tsh y w sj a
відлучившись	wj i d l u tsh y w sh y sj
відлучила	wj i d l u tsh y l a
відлучити	wj i d l u tsh y t y
відлучиш	wj i d l u tsh y sh
відлучується	wj i d l u tsh u j e tsj tsj a
відлучіться	wj i d l u tshj i tsj tsj a
відлітай	wj i dj lj i t a j
відлітаємо	wj i dj lj i t a j e m o
відлічив	wj i dj lj i tsh y w
відлічили	wj i dj lj i tsh y l y
відлічите	wj i dj lj i tsh y t e
відлічить	wj i dj lj i tsh y tj
відлічиш	wj i dj lj i tsh y sh
відмалку	wj i d m a l k u
відмикали	wj i d m y k a l y
відмов	wj i d m o w
відмовив	wj i d m o w y w
відмовився	wj i d m o w y w sj a
відмовилася	wj i d m o w y l a sj a
відмовились	wj i d m o w y l y sj
відмовилися	wj i d m o w y l y sj a
відмовитеся	wj i d m o w y t e sj a
відмовити	wj i d m o w y t y
відмовитися	wj i d m o w y t y sj a
відмовить	wj i d m o w y tj
відмовиться	wj i d m o w y tsj tsj a
відмовиш	wj i d m o w y sh
відмовишся	wj i d m o w y sj sj a
відмовлю	wj i d m o w lj u
відмовлював	wj i d m o w lj u w a w
відмовляй	wj i d m o w lj a j
відмовлялися	wj i d m o w lj a l y sj a
відмовлятися	wj i d m o w lj a t y sj a
відмовляюся	wj i d m o w lj a j u sj a
відмовляють	wj i d m o w lj a j u tj
відмовляє	wj i d m o w lj a j e
відмолодиться	wj i d m o l o d y tsj tsj a
відмінене	wj i d mj i n e n e
відмінений	wj i d mj i n e n y j
відміни	wj i d mj i n y
відмінилося	wj i d mj i n y l o sj a
відмінити	wj i d mj i n y t y
відмінить	wj i d mj i n y tj
відміниться	wj i d mj i n y tsj tsj a
відміняю	wj i d mj i nj a j u
відміняє	wj i d mj i nj a j e
відміряв	wj i d mj i rj a w
відміряний	wj i d mj i rj a n y j
відміряють	wj i d mj i rj a j u tj
відміряєте	wj i d mj i rj a j e t e
відміряєш	wj i d mj i rj a j e sh
віднесе	wj i d n e s e
віднесеш	wj i d n e s e sh
віднеси	wj i d n e s y
віднесла	wj i d n e s l a
віднесли	wj i d n e s l y
віднести	wj i d n e s t y
віднесуть	wj i d n e s u tj
віднесіть	wj i d n e sj i tj
віднині	wj i d n y nj i
віднови	wj i d n o w y
відновив	wj i d n o w y w
відновили	wj i d n o w y l y
відновимо	wj i d n o w y m o
відновити	wj i d n o w y t y
відновить	wj i d n o w y tj
відновиться	wj i d n o w y tsj tsj a
відновлена	wj i d n o w l e n a
відновлення	wj i d n o w l e nj nj a
відновленні	wj i d n o w l e nj nj i
відновлю	wj i d n o w lj u
відновлював	wj i d n o w lj u w a w
відновлювати	wj i d n o w lj u w a t y
відновлює	wj i d n o w lj u j e
відновлюється	wj i d n o w lj u j e tsj tsj a
відновляти	wj i d n o w lj a t y
відновлятися	wj i d n o w lj a t y sj a
відновлять	wj i d n o w lj a tj
відновляється	wj i d n o w lj a j e tsj tsj a
відновляєш	wj i d n o w lj a j e sh
відновою	wj i d n o w o j u
відноги	wj i d n o h y
відносив	wj i d n o s y w
відносили	wj i d n o s y l y
відноситься	wj i d n o s y tsj tsj a
відносно	wj i d n o s n o
відняв	wj i dj nj a w
відняли	wj i dj nj a l y
віднята	wj i dj nj a t a
відняте	wj i dj nj a t e
відняти	wj i dj nj a t y
віднятий	wj i dj nj a t y j
відніс	wj i dj nj i s
відокремився	wj i d o k r e m y w sj a
відокремтесь	wj i d o k r e m t e sj
відома	wj i d o m a
відоме	wj i d o m e
відомий	wj i d o m y j
відомим	wj i d o m y m
відомо	wj i d o m o
відомого	wj i d o m o h o
відомою	wj i d o m o j u
відомстив	wj i d o m s t y w
відомстилася	wj i d o m s t y l a sj a
відомститься	wj i d o m s t y tsj tsj a
відомі	wj i d o mj i
відомість	wj i d o mj i sj tj
відпав	wj i d p a w
відпадати	wj i d p a d a t y
відпадають	wj i d p a d a j u tj
відпадає	wj i d p a d a j e
відпадаєте	wj i d p a d a j e t e
відпаде	wj i d p a d e
відпала	wj i d p a l a
відпали	wj i d p a l y
відпалих	wj i d p a l y x
відпало	wj i d p a l o
відпис	wj i d p y s
відписа	wj i d p y s a
відплата	wj i d p l a t a
відплати	wj i d p l a t y
відплатив	wj i d p l a t y w
відплатити	wj i d p l a t y t y
відплатить	wj i d p l a t y tj
відплатою	wj i d p l a t o j u
відплату	wj i d p l a t u
відплатіте	wj i d p l a tj i t e
відплатіть	wj i d p l a tj i tj
відплачено	wj i d p l a tsh e n o
відплачу	wj i d p l a tsh u
відплачують	wj i d p l a tsh u j u tj
відплачує	wj i d p l a tsh u j e
відплачуєш	wj i d p l a tsh u j e sh
відплив	wj i d p l y w
відпливати	wj i d p l y w a t y
відпливають	wj i d p l y w a j u tj
відпливли	wj i d p l y w l y
відпливши	wj i d p l y w sh y
відплинувши	wj i d p l y n u w sh y
відплинули	wj i d p l y n u l y
відплинути	wj i d p l y n u t y
відплисти	wj i d p l y s t y
відповів	wj i d p o wj i w
відповідав	wj i d p o wj i d a w
відповідайте	wj i d p o wj i d a j t e
відповідали	wj i d p o wj i d a l y
відповідати	wj i d p o wj i d a t y
відповідатиме	wj i d p o wj i d a t y m e
відповідатиму	wj i d p o wj i d a t y m u
відповідатимуть	wj i d p o wj i d a t y m u tj
відповідаю	wj i d p o wj i d a j u
відповідають	wj i d p o wj i d a j u tj
відповідаючи	wj i d p o wj i d a j u tsh y
відповідає	wj i d p o wj i d a j e
відповідаєш	wj i d p o wj i d a j e sh
відповідей	wj i d p o wj i d e j
відповідне	wj i d p o wj i d n e
відповідний	wj i d p o wj i d n y j
відповідним	wj i d p o wj i d n y m
відповідних	wj i d p o wj i d n y x
відповідно	wj i d p o wj i d n o
відповідного	wj i d p o wj i d n o h o
відповідному	wj i d p o wj i d n o m u
відповідну	wj i d p o wj i d n u
відповідь	wj i d p o wj i dj
відповідям	wj i d p o wj i dj a m
відповідять	wj i d p o wj i dj a tj
відповіді	wj i d p o wj i dj i
відповіла	wj i d p o wj i l a
відповіли	wj i d p o wj i l y
відповім	wj i d p o wj i m
відповімо	wj i d p o wj i m o
відповіси	wj i d p o wj i s y
відповісте	wj i d p o wj i s t e
відповісти	wj i d p o wj i s t y
відповість	wj i d p o wj i sj tj
відповісться	wj i d p o wj i sj tsj tsj a
відпочив	wj i d p o tsh y w
відпочивав	wj i d p o tsh y w a w
відпочивають	wj i d p o tsh y w a j u tj
відпочили	wj i d p o tsh y l y
відпочине	wj i d p o tsh y n e
відпочинеш	wj i d p o tsh y n e sh
відпочинку	wj i d p o tsh y n k u
відпочинок	wj i d p o tsh y n o k
відпочинути	wj i d p o tsh y n u t y
відпочити	wj i d p o tsh y t y
відправив	wj i d p r a w y w
відправивсь	wj i d p r a w y w sj
відправився	wj i d p r a w y w sj a
відправити	wj i d p r a w y t y
відправлений	wj i d p r a w l e n y j
відправлю	wj i d p r a w lj u
відправлявся	wj i d p r a w lj a w sj a
відпроваджені	wj i d p r o w a dzh e nj i
відпроваджували	wj i d p r o w a dzh u w a l y
відпровадили	wj i d p r o w a d y l y
відпровадити	wj i d p r o w a d y t y
відпровадьте	wj i d p r o w a dj t e
відпускав	wj i d p u s k a w
відпускати	wj i d p u s k a t y
відпускаються	wj i d p u s k a j u tsj tsj a
відпускає	wj i d p u s k a j e
відпускаєте	wj i d p u s k a j e t e
відпускаєш	wj i d p u s k a j e sh
відпусти	wj i d p u s t y
відпустив	wj i d p u s t y w
відпустивши	wj i d p u s t y w sh y
відпустила	wj i d p u s t y l a
відпустили	wj i d p u s t y l y
відпустите	wj i d p u s t y t e
відпустити	wj i d p u s t y t y
відпустить	wj i d p u s t y tj
відпуститься	wj i d p u s t y tsj tsj a
відпустиш	wj i d p u s t y sh
відпушу	wj i d p u sh u
відпущена	wj i d p u sh tsh e n a
відпущений	wj i d p u sh tsh e n y j
відпущення	wj i d p u sh tsh e nj nj a
відпущенні	wj i d p u sh tsh e nj nj i
відпущено	wj i d p u sh tsh e n o
відпущеною	wj i d p u sh tsh e n o j u
відпущені	wj i d p u sh tsh e nj i
відпущу	wj i d p u sh tsh u
відра	wj i d r a
відрадніш	wj i d r a dj nj i sh
відразу	wj i d r a z u
відраховую	wj i d r a x o w u j u
відрахував	wj i d r a x u w a w
відреклися	wj i d r e k l y sj a
відречешся	wj i d r e tsh e sj sj a
відречуся	wj i d r e tsh u sj a
відречуться	wj i d r e tsh u tsj tsj a
відривався	wj i d r y w a w sj a
відривають	wj i d r y w a j u tj
відриваєте	wj i d r y w a j e t e
відробив	wj i d r o b y w
відродження	wj i d r o dzh e nj nj a
відродив	wj i d r o d y w
відросте	wj i d r o s t e
відростки	wj i d r o s t k y
відрочив	wj i d r o tsh y w
відрубав	wj i d r u b a w
відрубали	wj i d r u b a l y
відрубане	wj i d r u b a n e
відрубаний	wj i d r u b a n y j
відрубаними	wj i d r u b a n y m y
відрубані	wj i d r u b a nj i
відрубаю	wj i d r u b a j u
відрубаєш	wj i d r u b a j e sh
відрубувати	wj i d r u b u w a t y
відрі	wj i d rj i
відрізаний	wj i d rj i z a n y j
відрізаним	wj i d rj i z a n y m
відрізані	wj i d rj i z a nj i
відрізував	wj i d rj i z u w a w
відрікайся	wj i d rj i k a j sj a
відрікається	wj i d rj i k a j e tsj tsj a
відріклася	wj i d rj i k l a sj a
відрікся	wj i d rj i k sj a
відсилав	wj i dz s y l a w
відсилайте	wj i dz s y l a j t e
відсилає	wj i dz s y l a j e
відсилаєте	wj i dz s y l a j e t e
відсилаєш	wj i dz s y l a j e sh
відсотка	wj i dz s o t k a
відсотком	wj i dz s o t k o m
відсотків	wj i dz s o t kj i w
відсоток	wj i dz s o t o k
відспівали	wj i dz s pj i w a l y
відстав	wj i dz s t a w
відставав	wj i dz s t a w a w
відставлених	wj i dz s t a w l e n y x
відстали	wj i dz s t a l y
відсталі	wj i dz s t a lj i
відстань	wj i dz s t a nj
відстрашив	wj i dz s t r a sh y w
відступ	wj i dz s t u p
відступав	wj i dz s t u p a w
відступався	wj i dz s t u p a w sj a
відступайте	wj i dz s t u p a j t e
відступали	wj i dz s t u p a l y
відступалися	wj i dz s t u p a l y sj a
відступало	wj i dz s t u p a l o
відступати	wj i dz s t u p a t y
відступають	wj i dz s t u p a j u tj
відступаючи	wj i dz s t u p a j u tsh y
відступає	wj i dz s t u p a j e
відступив	wj i dz s t u p y w
відступився	wj i dz s t u p y w sj a
відступивши	wj i dz s t u p y w sh y
відступила	wj i dz s t u p y l a
відступилася	wj i dz s t u p y l a sj a
відступили	wj i dz s t u p y l y
відступилися	wj i dz s t u p y l y sj a
відступило	wj i dz s t u p y l o
відступилося	wj i dz s t u p y l o sj a
відступимо	wj i dz s t u p y m o
відступись	wj i dz s t u p y sj
відступися	wj i dz s t u p y sj a
відступитися	wj i dz s t u p y t y sj a
відступить	wj i dz s t u p y tj
відступиться	wj i dz s t u p y tsj tsj a
відступиш	wj i dz s t u p y sh
відступлення	wj i dz s t u p l e nj nj a
відступленням	wj i dz s t u p l e nj nj a m
відступлю	wj i dz s t u p lj u
відступлюся	wj i dz s t u p lj u sj a
відступлять	wj i dz s t u p lj a tj
відступляться	wj i dz s t u p lj a tsj tsj a
відступна	wj i dz s t u p n a
відступний	wj i dz s t u p n y j
відступниками	wj i dz s t u p n y k a m y
відступники	wj i dz s t u p n y k y
відступства	wj i dz s t u p s t w a
відступство	wj i dz s t u p s t w o
відступу	wj i dz s t u p u
відступіте	wj i dz s t u pj i t e
відступітесь	wj i dz s t u pj i t e sj
відступіть	wj i dz s t u pj i tj
відступіться	wj i dz s t u pj i tsj tsj a
відсунене	wj i dz s u n e n e
відсунув	wj i dz s u n u w
відсунь	wj i dz s u nj
відсуньте	wj i dz s u nj t e
відсутності	wj i dz s u t n o sj tj i
відсутній	wj i dz s u tj nj i j
відсутність	wj i dz s u tj nj i sj tj
відсік	wj i dz s i k
відсічені	wj i dz s i tsh e nj i
відтепер	wj i d t e p e r
відти	wj i d t y
відтинає	wj i d t y n a j e
відтоді	wj i d t o dj i
відтяв	wj i dj tj a w
відтягавсь	wj i dj tj a h a w sj
відтягалися	wj i dj tj a h a l y sj a
відтягнемо	wj i dj tj a h n e m o
відтята	wj i dj tj a t a
відтяти	wj i dj tj a t y
відтятий	wj i dj tj a t y j
відтяті	wj i dj tj a tj i
відхили	wj i d x y l y
відхилив	wj i d x y l y w
відхилився	wj i d x y l y w sj a
відхилили	wj i d x y l y l y
відхилились	wj i d x y l y l y sj
відхилилося	wj i d x y l y l o sj a
відхилитесь	wj i d x y l y t e sj
відхилитися	wj i d x y l y t y sj a
відхилить	wj i d x y l y tj
відхилиться	wj i d x y l y tsj tsj a
відхилишся	wj i d x y l y sj sj a
відхилю	wj i d x y lj u
відхилює	wj i d x y lj u j e
відхилюєтесь	wj i d x y lj u j e t e sj
відхилявся	wj i d x y lj a w sj a
відхилялися	wj i d x y lj a l y sj a
відхилятися	wj i d x y lj a t y sj a
відхиляюсь	wj i d x y lj a j u sj
відхиляють	wj i d x y lj a j u tj
відхиляєте	wj i d x y lj a j e t e
відходжу	wj i d x o dzh u
відходив	wj i d x o d y w
відходила	wj i d x o d y l a
відходили	wj i d x o d y l y
відходити	wj i d x o d y t y
відходить	wj i d x o d y tj
відходу	wj i d x o d u
відходь	wj i d x o dj
відходьте	wj i d x o dj t e
відходять	wj i d x o dj a tj
відході	wj i d x o dj i
відцвяшного	wj i d tsj wj a sh n o h o
відцвяшної	wj i d tsj wj a sh n o j i
відцуравшись	wj i d ts u r a w sh y sj
відцурались	wj i d ts u r a l y sj
відцуралися	wj i d ts u r a l y sj a
відцураюся	wj i d ts u r a j u sj a
відцураються	wj i d ts u r a j u tsj tsj a
відцураємось	wj i d ts u r a j e m o sj
відцурається	wj i d ts u r a j e tsj tsj a
відціджуєте	wj i d tsj i dzh u j e t e
відчалили	wj i tsh tsh a l y l y
відчинена	wj i tsh tsh y n e n a
відчинене	wj i tsh tsh y n e n e
відчинений	wj i tsh tsh y n e n y j
відчиненим	wj i tsh tsh y n e n y m
відчинені	wj i tsh tsh y n e nj i
відчини	wj i tsh tsh y n y
відчинив	wj i tsh tsh y n y w
відчинився	wj i tsh tsh y n y w sj a
відчинивши	wj i tsh tsh y n y w sh y
відчинила	wj i tsh tsh y n y l a
відчинилась	wj i tsh tsh y n y l a sj
відчинили	wj i tsh tsh y n y l y
відчинилися	wj i tsh tsh y n y l y sj a
відчинило	wj i tsh tsh y n y l o
відчинити	wj i tsh tsh y n y t y
відчинить	wj i tsh tsh y n y tj
відчиниш	wj i tsh tsh y n y sh
відчиню	wj i tsh tsh y nj u
відчиняв	wj i tsh tsh y nj a w
відчиняйте	wj i tsh tsh y nj a j t e
відчиняли	wj i tsh tsh y nj a l y
відчиняти	wj i tsh tsh y nj a t y
відчинять	wj i tsh tsh y nj a tj
відчиняться	wj i tsh tsh y nj a tsj tsj a
відчиняються	wj i tsh tsh y nj a j u tsj tsj a
відчиняє	wj i tsh tsh y nj a j e
відчиніте	wj i tsh tsh y nj i t e
відчиніть	wj i tsh tsh y nj i tj
відчистишся	wj i tsh tsh y s t y sj sj a
відчитав	wj i tsh tsh y t a w
відчитанні	wj i tsh tsh y t a nj nj i
відчитаєш	wj i tsh tsh y t a j e sh
відчищення	wj i tsh tsh y sh tsh e nj nj a
відчув	wj i tsh tsh u w
відчуває	wj i tsh tsh u w a j e
відчувши	wj i tsh tsh u w sh y
відчужений	wj i tsh tsh u zh e n y j
відчужені	wj i tsh tsh u zh e nj i
відчула	wj i tsh tsh u l a
відчули	wj i tsh tsh u l y
відчують	wj i tsh tsh u j u tj
відшкодувати	wj i d sh k o d u w a t y
відшкодує	wj i d sh k o d u j e
відшукав	wj i d sh u k a w
відшукали	wj i d sh u k a l y
відшукати	wj i d sh u k a t y
відшукаю	wj i d sh u k a j u
відіб	wj i dj i b
відібрали	wj i dj i b r a l y
відібрана	wj i dj i b r a n a
відібрані	wj i dj i b r a nj i
відігнали	wj i dj i h n a l y
відігнаного	wj i dj i h n a n o h o
відідхнув	wj i dj i d x n u w
відідхнули	wj i dj i d x n u l y
відізвався	wj i dj i z w a w sj a
відізвались	wj i dj i z w a l y sj
відійде	wj i dj i j d e
відійди	wj i dj i j d y
відійду	wj i dj i j d u
відійдуть	wj i dj i j d u tj
відійдіть	wj i dj i j dj i tj
відіймай	wj i dj i j m a j
відіймає	wj i dj i j m a j e
відіймається	wj i dj i j m a j e tsj tsj a
відійме	wj i dj i j m e
відійметься	wj i dj i j m e tsj tsj a
відіймеш	wj i dj i j m e sh
відійму	wj i dj i j m u
відійти	wj i dj i j t y
відійшла	wj i dj i j sh l a
відійшли	wj i dj i j sh l y
відійшло	wj i dj i j sh l o
відійшов	wj i dj i j sh o w
відійшовши	wj i dj i j sh o w sh y
відімкнула	wj i dj i m k n u l a
відімстився	wj i dj i m s t y w sj a
відімстила	wj i dj i m s t y l a
відімститься	wj i dj i m s t y tsj tsj a
відімщу	wj i dj i m sh tsh u
відіпхнув	wj i dj i p x n u w
відіпхнули	wj i dj i p x n u l y
відіпхнути	wj i dj i p x n u t y
відірвав	wj i dj i r w a w
відірвався	wj i dj i r w a w sj a
відірвалися	wj i dj i r w a l y sj a
відірвана	wj i dj i r w a n a
відірваний	wj i dj i r w a n y j
відірвані	wj i dj i r w a nj i
відірве	wj i dj i r w e
відірвемо	wj i dj i r w e m o
відірву	wj i dj i r w u
відірвуть	wj i dj i r w u tj
відіслав	wj i dj i s l a w
відіслали	wj i dj i s l a l y
відісланні	wj i dj i s l a nj nj i
відіслати	wj i dj i s l a t y
відітни	wj i dj i t n y
відітну	wj i dj i t n u
відішле	wj i dj i sh l e
відішлю	wj i dj i sh lj u
відішліть	wj i dj i sh lj i tj
віжки	wj i zh k y
віз	wj i z
візника	wj i z n y k a
візникові	wj i z n y k o wj i
візьме	wj i zj m e
візьмемо	wj i zj m e m o
візьмете	wj i zj m e t e
візьметься	wj i zj m e tsj tsj a
візьмеш	wj i zj m e sh
візьми	wj i zj m y
візьму	wj i zj m u
візьмуть	wj i zj m u tj
візьмімо	wj i zj mj i m o
візьміте	wj i zj mj i t e
візьміть	wj i zj mj i tj
війдуть	wj i j d u tj
війн	wj i j n
війна	wj i j n a
війни	wj i j n y
війною	wj i j n o j u
війну	wj i j n u
війні	wj i j nj i
військ	wj i j sj k
війська	wj i j sj k a
військами	wj i j sj k a m y
військо	wj i j sj k o
військова	wj i j sj k o w a
військове	wj i j sj k o w e
військовий	wj i j sj k o w y j
військовим	wj i j sj k o w y m
військовими	wj i j sj k o w y m y
військових	wj i j sj k o w y x
військового	wj i j sj k o w o h o
військової	wj i j sj k o w o j i
військову	wj i j sj k o w u
військові	wj i j sj k o wj i
військовій	wj i j sj k o wj i j
військом	wj i j sj k o m
війську	wj i j sj k u
вік	wj i k
віка	wj i k a
віками	wj i k a m y
віках	wj i k a x
віки	wj i k y
вікна	wj i k n a
вікно	wj i k n o
вікні	wj i k nj i
віко	wj i k o
вікової	wj i k o w o j i
вікові	wj i k o wj i
віковічне	wj i k o wj i tsh n e
віковічних	wj i k o wj i tsh n y x
віковічно	wj i k o wj i tsh n o
віком	wj i k o m
вікон	wj i k o n
віконцем	wj i k o n ts e m
віку	wj i k u
віків	wj i kj i w
віл	wj i l
вільгістю	wj i lj hj i sj tj u
вільна	wj i lj n a
вільне	wj i lj n e
вільний	wj i lj n y j
вільним	wj i lj n y m
вільними	wj i lj n y m y
вільних	wj i lj n y x
вільно	wj i lj n o
вільного	wj i lj n o h o
вільної	wj i lj n o j i
вільні	wj i lj nj i
вільнім	wj i lj nj i m
вільність	wj i lj nj i sj tj
він	wj i n
вінець	wj i n e tsj
вінка	wj i n k a
вінками	wj i n k a m y
вінки	wj i n k y
вінку	wj i n k u
віно	wj i n o
вінок	wj i n o k
віном	wj i n o m
вінця	wj i nj tsj a
вінці	wj i nj tsj i
вінців	wj i nj tsj i w
вінчаєш	wj i n tsh a j e sh
вінче	wj i n tsh e
вір	wj i r
віра	wj i r a
віри	wj i r y
вірив	wj i r y w
вірили	wj i r y l y
вірите	wj i r y t e
віритель	wj i r y t e lj
вірителя	wj i r y t e lj a
вірити	wj i r y t y
вірить	wj i r y tj
віриш	wj i r y sh
вірна	wj i r n a
вірне	wj i r n e
вірний	wj i r n y j
вірним	wj i r n y m
вірних	wj i r n y x
вірно	wj i r n o
вірного	wj i r n o h o
вірнодухий	wj i r n o d u x y j
вірному	wj i r n o m u
вірности	wj i r n o s t y
вірності	wj i r n o sj tj i
вірну	wj i r n u
вірні	wj i r nj i
вірність	wj i r nj i sj tj
вірністю	wj i r nj i sj tj u
вірою	wj i r o j u
вірправив	wj i r p r a w y w
вірсавію	wj i r s a wj i j u
вірсавія	wj i r s a wj i j a
вірсавії	wj i r s a wj i j i
вірте	wj i r t e
віру	wj i r u
вірував	wj i r u w a w
вірувавши	wj i r u w a w sh y
вірували	wj i r u w a l y
вірувати	wj i r u w a t y
віруй	wj i r u j
віруйте	wj i r u j t e
вірую	wj i r u j u
вірують	wj i r u j u tj
віруючи	wj i r u j u tsh y
віруючий	wj i r u j u tsh y j
віруючим	wj i r u j u tsh y m
віруючими	wj i r u j u tsh y m y
віруючих	wj i r u j u tsh y x
віруючі	wj i r u j u tshj i
вірує	wj i r u j e
віруємо	wj i r u j e m o
віруєте	wj i r u j e t e
віруєш	wj i r u j e sh
вірю	wj i rj u
вірять	wj i rj a tj
вірячи	wj i rj a tsh y
вірі	wj i rj i
віск	wj i s k
віслюка	wj i sj lj u k a
віслюки	wj i sj lj u k y
віслюкові	wj i sj lj u k o wj i
вісник	wj i s n y k
вісон	wj i s o n
вісону	wj i s o n u
віссон	wj i s s o n
віссонний	wj i s s o n n y j
віссонну	wj i s s o n n u
віссоновими	wj i s s o n o w y m y
віссоном	wj i s s o n o m
віссону	wj i s s o n u
віссоні	wj i s s o nj i
вістка	wj i s t k a
вістки	wj i s t k y
вістку	wj i s t k u
вістря	wj i s t rj a
вістрям	wj i s t rj a m
вість	wj i sj tj
