a	a1_T1
hòn	h o1_T2 n
hòng	h o1_T2 ng
hóa	h oa_T3
hóc	h o1_T3 k
hóp	h o1_T3 p
hót	h o1_T3 t
hô	h o2_T1
hôi	h oi2_T1
hôm	h o2_T1 m
hôn	h o2_T1 n
hông	h o2_T1 ng
hõi	h oi_T5
hù	h u1_T2
hùa	h ua_T2
hùng	h u1_T2 ng
hú	h u1_T3
húc	h u1_T3 k
húp	h u1_T3 p
hút	h u1_T3 t
hăm	h a2_T1 m
hăng	h a2_T1 ng
hũ	h u1_T5
hơ	h o3_T1
hơi	h oi3_T1
hơn	h o3_T1 n
hư	h u2_T1
hưng	h u2_T1 ng
hương	h ua2_T1 ng
hươu	h uou_T1
hướng	h ua2_T3 ng
hườn	h ua2_T2 n
hường	h ua2_T2 ng
hưởn	h ua2_T4 n
hưởng	h ua2_T4 ng
hưỡn	h ua2_T5 n
hưỡng	h ua2_T5 ng
hạ	h a1_T6
hạc	h a1_T6 k
hạch	h a1_T6 ch
hại	h ai_T6
hạm	h a1_T6 m
hạn	h a1_T6 n
hạng	h a1_T6 ng
hạnh	h a1_T6 nh
hạp	h a1_T6 p
hạt	h a1_T6 t
hạy	h ay_T6
hả	h a1_T4
hảo	h ao_T4
hảy	h ay_T4
hấp	h a3_T3 p
hất	h a3_T3 t
hầm	h a3_T2 m
hầu	h au3_T2
hẩm	h a3_T4 m
hận	h a3_T6 n
hậu	h au3_T6
hắc	h a2_T3 k
hắn	h a2_T3 n
hằm	h a2_T2 m
hằn	h a2_T2 n
hằng	h a2_T2 ng
hẳn	h a2_T4 n
hẹn	h e1_T6 n
hẹp	h e1_T6 p
hẹt	h e1_T6 t
hẻm	h e1_T4 m
hế	h e2_T3
hếch	h e2_T3 ch
hếp	h e2_T3 p
hết	h e2_T3 t
hề	h e2_T2
hễ	h e2_T5
hễn	h e2_T5 n
hệ	h e2_T6
hệt	h e2_T6 t
hỉ	h i_T4
họ	h o1_T6
họa	h oa_T6
học	h o1_T6 k
họng	h o1_T6 ng
họp	h o1_T6 p
họt	h o1_T6 t
hỏa	h oa_T4
hỏi	h oi_T4
hỏng	h o1_T4 ng
hố	h o2_T3
hối	h oi2_T3
hốp	h o2_T3 p
hốt	h o2_T3 t
hồ	h o2_T2
hồi	h oi2_T2
hồn	h o2_T2 n
hồng	h o2_T2 ng
hổ	h o2_T4
hổi	h oi2_T4
hỗm	h o2_T5 m
hỗn	h o2_T5 n
hộ	h o2_T6
hộc	h o2_T6 k
hội	h oi2_T6
hộp	h o2_T6 p
hột	h o2_T6 t
hớn	h o3_T3 n
hớp	h o3_T3 p
hớt	h o3_T3 t
hờ	h o3_T2
hờn	h o3_T2 n
hở	h o3_T4
hởi	h oi3_T4
hỡi	h oi3_T5
hợp	h o3_T6 p
hục	h u1_T6 k
hụp	h u1_T6 p
hủng	h u1_T4 ng
hủy	h uy_T4
hứa	h ua2_T3
hứng	h u2_T3 ng
hừng	h u2_T2 ng
hửu	h uu2_T4
hững	h u2_T5 ng
hữu	h uu2_T5
hực	h u2_T6 k
i	i_T1
im	i_T1 m
in	i_T1 n
inh	i_T1 nh
iếp	ie2_T3 p
jêsus	j e2_T1 s u1_T1 s
ka	k a1_T1
ke	k e1_T1
kem	k e1_T1 m
ken	k e1_T1 n
keo	k eo_T1
kha	kh a1_T1
khai	kh ai_T1
kham	kh a1_T1 m
khan	kh a1_T1 n
khao	kh ao_T1
khe	kh e1_T1
khen	kh e1_T1 n
khi	kh i_T1
khinh	kh i_T1 nh
khiêm	kh ie2_T1 m
khiên	kh ie2_T1 n
khiêng	kh ie2_T1 ng
khiến	kh ie2_T3 n
khiếp	kh ie2_T3 p
khiết	kh ie2_T3 t
kho	kh o1_T1
khoa	kh oa_T1
khoan	kh oa_T1 n
khoang	kh oa_T1 ng
khoanh	kh oa_T1 nh
khoe	kh oe_T1
khoen	kh oe_T1 n
khom	kh o1_T1 m
khong	kh o1_T1 ng
khoác	kh oa_T3 k
khoái	kh oa_T3 i_T1
khoát	kh oa_T3 t
khoét	kh oe_T3 t
khoản	kh oa_T4 n
khoảng	kh oa_T4 ng
khu	kh u1_T1
khua	kh ua_T1
khui	kh ui_T1
khung	kh u1_T1 ng
khuya	kh uy_T1 a1_T1
khuyên	kh uy_T1 e2_T1 n
khuyết	kh uy_T1 e2_T3 t
khuân	kh u1_T1 a3_T1 n
khuôn	kh ua_T1 n
khuông	kh ua_T1 ng
khuất	kh ua_T3 t
khuấy	kh ua_T3 i_T1
khá	kh a1_T3
khác	kh a1_T3 k
khách	kh a1_T3 ch
khám	kh a1_T3 m
kháng	kh a1_T3 ng
khánh	kh a1_T3 nh
khát	kh a1_T3 t
khâm	kh a3_T1 m
khâu	kh au3_T1
khéo	kh eo_T3
khép	kh e1_T3 p
khêu	kh e2_T1 u1_T1
khí	kh i_T3
khích	kh i_T3 ch
khít	kh i_T3 t
khòm	kh o1_T2 m
khó	kh o1_T3
khóa	kh oa_T3
khóc	kh o1_T3 k
khóe	kh oe_T3
khói	kh oi_T3
khóm	kh o1_T3 m
khô	kh o2_T1
khôi	kh oi2_T1
khôn	kh o2_T1 n
không	kh o2_T1 ng
khúc	kh u1_T3 k
khăn	kh a2_T1 n
khăng	kh a2_T1 ng
khạc	kh a1_T6 k
khảm	kh a1_T4 m
khảnh	kh a1_T4 nh
khảo	kh ao_T4
khảy	kh ay_T4
khấn	kh a3_T3 n
khấng	kh a3_T3 ng
khấp	kh a3_T3 p
khấy	kh ay3_T3
khẩn	kh a3_T4 n
khẩu	kh au3_T4
khắc	kh a2_T3 k
khắn	kh a2_T3 n
khắng	kh a2_T3 ng
khắp	kh a2_T3 p
khằn	kh a2_T2 n
khế	kh e2_T3
khỉ	kh i_T4
khỏa	kh oa_T4
khỏe	kh oe_T4
khỏi	kh oi_T4
khỏng	kh o1_T4 ng
khố	kh o2_T3
khối	kh oi2_T3
khốn	kh o2_T3 n
khổ	kh o2_T4
khổng	kh o2_T4 ng
khớp	kh o3_T3 p
khờ	kh o3_T2
khởi	kh oi3_T4
khỡi	kh oi3_T5
khủng	kh u1_T4 ng
khứng	kh u2_T3 ng
ki	k i_T1
kia	k ie2_T1
kim	k i_T1 m
kin	k i_T1 n
kinh	k i_T1 nh
kiên	k ie2_T1 n
kiêng	k ie2_T1 ng
kiêu	k ieu_T1
kiếm	k ie2_T3 m
kiến	k ie2_T3 n
kiếp	k ie2_T3 p
kiếu	k ieu_T3
kiềm	k ie2_T2 m
kiền	k ie2_T2 n
kiềng	k ie2_T2 ng
kiều	k ieu_T2
kiểm	k ie2_T4 m
kiểu	k ieu_T4
kiện	k ie2_T6 n
kiệt	k ie2_T6 t
kiệu	k ieu_T6
kát	k a1_T3 t
kè	k e1_T2
kèm	k e1_T2 m
kèn	k e1_T2 n
ké	k e1_T3
kém	k e1_T3 m
kén	k e1_T3 n
kéo	k eo_T3
kép	k e1_T3 p
két	k e1_T3 t
kê	k e2_T1
kên	k e2_T1 n
kêu	k e2_T1 u1_T1
kìa	k i_T2 a1_T1
kình	k i_T2 nh
kích	k i_T3 ch
kín	k i_T3 n
kính	k i_T3 nh
kíp	k i_T3 p
kít	k i_T3 t
kô	k o2_T1
ký	k i_T3
kĩ	k i_T5
kẹp	k e1_T6 p
kẻ	k e1_T4
kẻo	k eo_T4
kẽ	k e1_T5
kế	k e2_T3
kết	k e2_T3 t
kề	k e2_T2
kể	k e2_T4
kễ	k e2_T5
kệ	k e2_T6
kỉ	k i_T4
kỉnh	k i_T4 nh
kị	k i_T6
kịch	k i_T6 ch
kịp	k i_T6 p
kịt	k i_T6 t
kốn	k o2_T3 n
kỳ	k i_T2
kỵ	k i_T6
kỷ	k i_T4
kỹ	k i_T5
la	l a1_T1
lai	l ai_T1
lam	l a1_T1 m
lan	l a1_T1 n
lang	l a1_T1 ng
lanh	l a1_T1 nh
lao	l ao_T1
lau	l au_T1
lay	l ay_T1
le	l e1_T1
lem	l e1_T1 m
len	l e1_T1 n
leo	l eo_T1
li	l i_T1
lia	l i_T1 a1_T1
lim	l i_T1 m
linh	l i_T1 nh
liêm	l ie2_T1 m
liên	l ie2_T1 n
liêng	l ie2_T1 ng
liêu	l ieu_T1
liếc	l ie2_T3 k
liếm	l ie2_T3 m
liềm	l ie2_T2 m
liền	l ie2_T2 n
liều	l ieu_T2
liễu	l ieu_T5
liệm	l ie2_T6 m
liệng	l ie2_T6 ng
liệt	l ie2_T6 t
liệu	l ieu_T6
lo	l o1_T1
loa	l oa_T1
lon	l o1_T1 n
long	l o1_T1 ng
loài	l oa_T2 i_T1
loán	l oa_T3 n
loại	l oa_T6 i_T1
loạn	l oa_T6 n
loẹt	l oe_T6 t
lu	l u1_T1
lui	l ui_T1
lum	l u1_T1 m
lun	l u1_T1 n
lung	l u1_T1 ng
luyến	l uy_T1 e2_T3 n
luyện	l uy_T1 e2_T6 n
luân	l u1_T1 a3_T1 n
luôn	l ua_T1 n
luông	l ua_T1 ng
luận	l ua_T6 n
luật	l ua_T6 t
luống	l ua_T3 ng
luốt	l ua_T3 t
luồn	l ua_T2 n
luồng	l ua_T2 ng
luộc	l ua_T6 k
luỡi	l u1_T1 oi3_T5
ly	l i_T1
là	l a1_T2
lài	l ai_T2
làm	l a1_T2 m
làng	l a1_T2 ng
lành	l a1_T2 nh
lào	l ao_T2
lá	l a1_T3
lác	l a1_T3 k
lách	l a1_T3 ch
lái	l ai_T3
lán	l a1_T3 n
láng	l a1_T3 ng
lánh	l a1_T3 nh
láo	l ao_T3
láp	l a1_T3 p
lát	l a1_T3 t
láu	l au_T3
lâm	l a3_T1 m
lân	l a3_T1 n
lâng	l a3_T1 ng
lâu	l au3_T1
lây	l ay3_T1
lãi	l ai_T5
lãnh	l a1_T5 nh
lão	l ao_T5
léc	l e1_T3 k
lém	l e1_T3 m
lén	l e1_T3 n
léo	l eo_T3
lép	l e1_T3 p
lét	l e1_T3 t
lê	l e2_T1
lên	l e2_T1 n
lêu	l e2_T1 u1_T1
lì	l i_T2
lìa	l i_T2 a1_T1
lình	l i_T2 nh
lính	l i_T3 nh
líp	l i_T3 p
lít	l i_T3 t
líu	l iu_T3
lò	l o1_T2
lòa	l oa_T2
lòe	l oe_T2
lòi	l oi_T2
lòn	l o1_T2 n
lòng	l o1_T2 ng
ló	l o1_T3
lóc	l o1_T3 k
lóe	l oe_T3
lói	l oi_T3
lóng	l o1_T3 ng
lót	l o1_T3 t
lô	l o2_T1
lôi	l oi2_T1
lôm	l o2_T1 m
lôn	l o2_T1 n
lông	l o2_T1 ng
lõa	l oa_T5
lùi	l ui_T2
lùm	l u1_T2 m
lùng	l u1_T2 ng
lúa	l ua_T3
lúc	l u1_T3 k
lún	l u1_T3 n
lúp	l u1_T3 p
lút	l u1_T3 t
lý	l i_T3
lăm	l a2_T1 m
lăn	l a2_T1 n
lăng	l a2_T1 ng
lũ	l u1_T5
lũng	l u1_T5 ng
lũy	l u1_T5 i_T1
lơ	l o3_T1
lơn	l o3_T1 n
lư	l u2_T1
lưng	l u2_T1 ng
lưu	l uu2_T1
lương	l ua2_T1 ng
lưới	l uoi3_T3
lướt	l ua2_T3 t
lười	l uoi3_T2
lường	l ua2_T2 ng
lưỡi	l uoi3_T5
lưỡng	l ua2_T5 ng
lược	l ua2_T6 k
lượm	l ua2_T6 m
lượn	l ua2_T6 n
lượng	l ua2_T6 ng
lượt	l ua2_T6 t
lạ	l a1_T6
lạc	l a1_T6 k
lại	l ai_T6
lạm	l a1_T6 m
lạng	l a1_T6 ng
lạnh	l a1_T6 nh
lạo	l ao_T6
lạt	l a1_T6 t
lạy	l ay_T6
lảm	l a1_T4 m
lảng	l a1_T4 ng
lảy	l ay_T4
lấm	l a3_T3 m
lấn	l a3_T3 n
lấp	l a3_T3 p
lấy	l ay3_T3
lầm	l a3_T2 m
lần	l a3_T2 n
lầu	l au3_T2
lầy	l ay3_T2
lẩn	l a3_T4 n
lẩy	l ay3_T4
lẫm	l a3_T5 m
lẫn	l a3_T5 n
lẫy	l ay3_T5
lận	l a3_T6 n
lập	l a3_T6 p
lật	l a3_T6 t
lậu	l au3_T6
lắc	l a2_T3 k
lắm	l a2_T3 m
lắng	l a2_T3 ng
lắt	l a2_T3 t
lằm	l a2_T2 m
lằn	l a2_T2 n
lẳng	l a2_T4 ng
lặn	l a2_T6 n
lặng	l a2_T6 ng
lặp	l a2_T6 p
lặt	l a2_T6 t
lẹ	l e1_T6
lẻ	l e1_T4
lẻn	l e1_T4 n
lẻo	l eo_T4
lẽ	l e1_T5
lẽo	l eo_T5
lế	l e2_T3
lết	l e2_T3 t
lề	l e2_T2
lều	l eu_T2
lễ	l e2_T5
lệ	l e2_T6
lệch	l e2_T6 ch
lệt	l e2_T6 t
lị	l i_T6
lịch	l i_T6 ch
lịnh	l i_T6 nh
lọc	l o1_T6 k
lọi	l oi_T6
lọn	l o1_T6 n
lọt	l o1_T6 t
lỏa	l oa_T4
lỏng	l o1_T4 ng
lố	l o2_T3
lốc	l o2_T3 k
lối	l oi2_T3
lốt	l o2_T3 t
lồ	l o2_T2
lồi	l oi2_T2
lồng	l o2_T2 ng
lỗ	l o2_T5
lỗi	l oi2_T5
lộ	l o2_T6
lộc	l o2_T6 k
lội	l oi2_T6
lộn	l o2_T6 n
lộng	l o2_T6 ng
lột	l o2_T6 t
lớn	l o3_T3 n
lớp	l o3_T3 p
lờ	l o3_T2
lời	l oi3_T2
lờn	l o3_T2 n
lở	l o3_T4
lỡ	l o3_T5
lợi	l oi3_T6
lợp	l o3_T6 p
lợt	l o3_T6 t
lụa	l ua_T6
lục	l u1_T6 k
lụn	l u1_T6 n
lụng	l u1_T6 ng
lụt	l u1_T6 t
lụy	l u1_T6 i_T1
lủi	l ui_T4
lủng	l u1_T4 ng
lứa	l ua2_T3
lừa	l ua2_T2
lừng	l u2_T2 ng
lửa	l ua2_T4
lửng	l u2_T4 ng
lữa	l ua2_T5
lững	l u2_T5 ng
lự	l u2_T6
lựa	l ua2_T6
lực	l u2_T6 k
lựu	l uu2_T6
lỵ	l i_T6
ma	m a1_T1
mai	m ai_T1
mam	m a1_T1 m
man	m a1_T1 n
mang	m a1_T1 ng
manh	m a1_T1 nh
mao	m ao_T1
mau	m au_T1
may	m ay_T1
me	m e1_T1
mem	m e1_T1 m
men	m e1_T1 n
mi	m i_T1
mia	m i_T1 a1_T1
mim	m i_T1 m
min	m i_T1 n
minh	m i_T1 nh
miến	m ie2_T3 n
miếng	m ie2_T3 ng
miếu	m ieu_T3
miền	m ie2_T2 n
miềng	m ie2_T2 ng
miểng	m ie2_T4 ng
miễn	m ie2_T5 n
miễu	m ieu_T5
miệc	m ie2_T6 k
miện	m ie2_T6 n
miệng	m ie2_T6 ng
miệt	m ie2_T6 t
mo	m o1_T1
mon	m o1_T1 n
mong	m o1_T1 ng
mu	m u1_T1
mua	m ua_T1
mui	m ui_T1
mun	m u1_T1 n
muôn	m ua_T1 n
muông	m ua_T1 ng
muối	m uoi2_T3
muốn	m ua_T3 n
muỗi	m uoi2_T5
muỗng	m ua_T5 ng
muội	m uoi2_T6
muộn	m ua_T6 n
muớn	m u1_T1 o3_T3 n
my	m i_T1
mà	m a1_T2
mài	m ai_T2
màn	m a1_T2 n
màng	m a1_T2 ng
màu	m au_T2
mày	m ay_T2
má	m a1_T3
mác	m a1_T3 k
mách	m a1_T3 ch
mái	m ai_T3
máng	m a1_T3 ng
máp	m a1_T3 p
mát	m a1_T3 t
máu	m au_T3
máy	m ay_T3
mâm	m a3_T1 m
mây	m ay3_T1
mã	m a1_T5
mãi	m ai_T5
mãn	m a1_T5 n
mãnh	m a1_T5 nh
mão	m ao_T5
mè	m e1_T2
mèo	m eo_T2
mé	m e1_T3
méc	m e1_T3 k
mép	m e1_T3 p
mê	m e2_T1
mên	m e2_T1 n
mênh	m e2_T1 nh
mì	m i_T2
mình	m i_T2 nh
mí	m i_T3
mích	m i_T3 ch
míp	m i_T3 p
mít	m i_T3 t
mò	m o1_T2
mòi	m oi_T2
mòn	m o1_T2 n
mòng	m o1_T2 ng
móc	m o1_T3 k
mói	m oi_T3
món	m o1_T3 n
móng	m o1_T3 ng
mót	m o1_T3 t
mô	m o2_T1
môi	m oi2_T1
môn	m o2_T1 n
mông	m o2_T1 ng
mù	m u1_T2
mùa	m ua_T2
mùi	m ui_T2
múa	m ua_T3
múc	m u1_T3 k
mút	m u1_T3 t
măn	m a2_T1 n
mĩ	m i_T5
mũ	m u1_T5
mũi	m ui_T5
mơ	m o3_T1
mơi	m oi3_T1
mơn	m o3_T1 n
mưa	m ua2_T1
mưu	m uu2_T1
mươi	m uoi3_T1
mương	m ua2_T1 ng
mước	m ua2_T3 k
mưới	m uoi3_T3
mướn	m ua2_T3 n
mười	m uoi3_T2
mượn	m ua2_T6 n
mạ	m a1_T6
mạc	m a1_T6 k
mạch	m a1_T6 ch
mại	m ai_T6
mạn	m a1_T6 n
mạng	m a1_T6 ng
mạnh	m a1_T6 nh
mạo	m ao_T6
mạp	m a1_T6 p
mạt	m a1_T6 t
mả	m a1_T4
mản	m a1_T4 n
mảng	m a1_T4 ng
mảnh	m a1_T4 nh
mảy	m ay_T4
mất	m a3_T3 t
mấu	m au3_T3
mấy	m ay3_T3
mầm	m a3_T2 m
mầu	m au3_T2
mầy	m ay3_T2
mẩn	m a3_T4 n
mẩy	m ay3_T4
mẫn	m a3_T5 n
mẫu	m au3_T5
mập	m a3_T6 p
mật	m a3_T6 t
mậu	m au3_T6
mắc	m a2_T3 k
mắn	m a2_T3 n
mắng	m a2_T3 ng
mắt	m a2_T3 t
mặc	m a2_T6 k
mặm	m a2_T6 m
mặn	m a2_T6 n
mặt	m a2_T6 t
mẹ	m e1_T6
mẹo	m eo_T6
mẹt	m e1_T6 t
mẻ	m e1_T4
mẽ	m e1_T5
mếch	m e2_T3 ch
mến	m e2_T3 n
mết	m e2_T3 t
mềm	m e2_T2 m
mền	m e2_T2 n
mệ	m e2_T6
mệt	m e2_T6 t
mỉm	m i_T4 m
mịn	m i_T6 n
mịnh	m i_T6 nh
mịt	m i_T6 t
mọc	m o1_T6 k
mọi	m oi_T6
mọn	m o1_T6 n
mọp	m o1_T6 p
mọt	m o1_T6 t
mỏ	m o1_T4
mỏi	m oi_T4
mỏn	m o1_T4 n
mỏng	m o1_T4 ng
mốc	m o2_T3 k
mối	m oi2_T3
mống	m o2_T3 ng
mốp	m o2_T3 p
mốt	m o2_T3 t
mồ	m o2_T2
mồi	m oi2_T2
mồm	m o2_T2 m
mồng	m o2_T2 ng
mổ	m o2_T4
mỗi	m oi2_T5
mộ	m o2_T6
mộc	m o2_T6 k
mộng	m o2_T6 ng
một	m o2_T6 t
mới	m oi3_T3
mớm	m o3_T3 m
mờ	m o3_T2
mời	m oi3_T2
mở	m o3_T4
mởn	m o3_T4 n
mỡ	m o3_T5
mụ	m u1_T6
mục	m u1_T6 k
mụt	m u1_T6 t
mủ	m u1_T4
mủng	m u1_T4 ng
mừng	m u2_T2 ng
mửa	m ua2_T4
mực	m u2_T6 k
mỹ	m i_T5
na	n a1_T1
nai	n ai_T1
nam	n a1_T1 m
nan	n a1_T1 n
nang	n a1_T1 ng
nanh	n a1_T1 nh
nao	n ao_T1
nay	n ay_T1
ne	n e1_T1
nem	n e1_T1 m
neo	n eo_T1
nga	ng a1_T1
ngai	ng ai_T1
ngang	ng a1_T1 ng
ngay	ng ay_T1
nghe	ng e1_T1
nghi	ng i_T1
nghinh	ng i_T1 nh
nghiêm	ng ie2_T1 m
nghiêng	ng ie2_T1 ng
nghiến	ng ie2_T3 n
nghiền	ng ie2_T2 n
nghiệm	ng ie2_T6 m
nghiệp	ng ie2_T6 p
nghiệt	ng ie2_T6 t
nghèo	ng eo_T2
nghén	ng e1_T3 n
nghĩ	ng i_T5
nghĩa	ng i_T5 a1_T1
nghẹt	ng e1_T6 t
nghề	ng e2_T2
nghệ	ng e2_T6
nghỉ	ng i_T4
nghị	ng i_T6
nghịch	ng i_T6 ch
ngoa	ng oa_T1
ngoan	ng oa_T1 n
ngon	ng o1_T1 n
ngoài	ng oa_T2 i_T1
ngoái	ng oa_T3 i_T1
ngoại	ng oa_T6 i_T1
ngoạn	ng oa_T6 n
ngoắt	ng o1_T1 a2_T3 t
ngu	ng u1_T1
nguy	ng uy_T1
nguyên	ng uy_T1 e2_T1 n
nguyền	ng uy_T1 e2_T2 n
nguyện	ng uy_T1 e2_T6 n
nguyệt	ng uy_T1 e2_T6 t
nguôi	ng uoi2_T1
nguơi	ng u1_T1 oi3_T1
nguồn	ng ua_T2 n
nguội	ng uoi2_T6
nguời	ng u1_T1 oi3_T2
ngà	ng a1_T2
ngài	ng ai_T2
ngàn	ng a1_T2 n
ngàng	ng a1_T2 ng
ngào	ng ao_T2
ngày	ng ay_T2
ngán	ng a1_T3 n
ngát	ng a1_T3 t
ngâm	ng a3_T1 m
ngây	ng ay3_T1
ngã	ng a1_T5
ngò	ng o1_T2
ngòi	ng oi_T2
ngó	ng o1_T3
ngóc	ng o1_T3 k
ngói	ng oi_T3
ngón	ng o1_T3 n
ngóng	ng o1_T3 ng
ngôi	ng oi2_T1
ngôn	ng o2_T1 n
ngõ	ng o1_T5
ngùi	ng ui_T2
ngút	ng u1_T3 t
ngăm	ng a2_T1 m
ngăn	ng a2_T1 n
ngũ	ng u1_T5
ngơ	ng o3_T1
ngơi	ng oi3_T1
ngưi	ng ui2_T1
ngưng	ng u2_T1 ng
ngưu	ng uu2_T1
ngươi	ng uoi3_T1
ngước	ng ua2_T3 k
người	ng uoi3_T2
ngưỡng	ng ua2_T5 ng
ngược	ng ua2_T6 k
ngạc	ng a1_T6 k
ngạch	ng a1_T6 ch
ngại	ng ai_T6
ngạn	ng a1_T6 n
ngạnh	ng a1_T6 nh
ngạo	ng ao_T6
ngạt	ng a1_T6 t
ngả	ng a1_T4
ngải	ng ai_T4
ngảnh	ng a1_T4 nh
ngất	ng a3_T3 t
ngầm	ng a3_T2 m
ngần	ng a3_T2 n
ngẩn	ng a3_T4 n
ngẫm	ng a3_T5 m
ngậm	ng a3_T6 m
ngập	ng a3_T6 p
ngắm	ng a2_T3 m
ngắn	ng a2_T3 n
ngắt	ng a2_T3 t
ngằn	ng a2_T2 n
ngặt	ng a2_T6 t
ngọ	ng o1_T6
ngọc	ng o1_T6 k
ngọn	ng o1_T6 n
ngọng	ng o1_T6 ng
ngọt	ng o1_T6 t
ngỏ	ng o1_T4
ngồi	ng oi2_T2
ngổn	ng o2_T4 n
ngỗ	ng o2_T5
ngộ	ng o2_T6
ngộp	ng o2_T6 p
ngột	ng o2_T6 t
ngớt	ng o3_T3 t
ngờ	ng o3_T2
ngời	ng oi3_T2
ngỡ	ng o3_T5
ngợ	ng o3_T6
ngợi	ng oi3_T6
ngụ	ng u1_T6
ngục	ng u1_T6 k
ngụy	ng u1_T6 i_T1
ngủ	ng u1_T4
ngủi	ng ui_T4
ngứa	ng ua2_T3
ngừa	ng ua2_T2
ngừi	ng ui2_T2
ngừng	ng u2_T2 ng
ngửa	ng ua2_T4
ngửi	ng ui2_T4
ngữ	ng u2_T5
ngữa	ng ua2_T5
ngự	ng u2_T6
ngựa	ng ua2_T6
ngực	ng u2_T6 k
nha	nh a1_T1
nhai	nh ai_T1
nhan	nh a1_T1 n
nhau	nh au_T1
nhe	nh e1_T1
nhen	nh e1_T1 n
nheo	nh eo_T1
nhiên	nh ie2_T1 n
nhiêu	nh ieu_T1
nhiếc	nh ie2_T3 k
nhiếm	nh ie2_T3 m
nhiều	nh ieu_T2
nhiệm	nh ie2_T6 m
nho	nh o1_T1
nhoáng	nh oa_T3 ng
nhu	nh u1_T1
nhung	nh u1_T1 ng
nhuần	nh ua_T2 n
nhuận	nh ua_T6 n
nhuệ	nh u1_T1 e2_T6
nhuốc	nh ua_T3 k
nhuốt	nh ua_T3 t
nhuộm	nh ua_T6 m
nhà	nh a1_T2
nhàm	nh a1_T2 m
nhàn	nh a1_T2 n
nhàng	nh a1_T2 ng
nhành	nh a1_T2 nh
nhào	nh ao_T2
nhàu	nh au_T2
nhá	nh a1_T3
nhác	nh a1_T3 k
nhái	nh ai_T3
nháng	nh a1_T3 ng
nhánh	nh a1_T3 nh
nhát	nh a1_T3 t
nháy	nh ay_T3
nhân	nh a3_T1 n
nhã	nh a1_T5
nhãn	nh a1_T5 n
nhép	nh e1_T3 p
nhì	nh i_T2
nhìn	nh i_T2 n
nhím	nh i_T3 m
nhíp	nh i_T3 p
nhíu	nh iu_T3
nhóc	nh o1_T3 k
nhóm	nh o1_T3 m
nhóp	nh o1_T3 p
nhót	nh o1_T3 t
nhông	nh o2_T1 ng
nhúc	nh u1_T3 k
nhúm	nh u1_T3 m
nhún	nh u1_T3 n
nhúng	nh u1_T3 ng
nhút	nh u1_T3 t
nhăn	nh a2_T1 n
nhũ	nh u1_T5
nhũng	nh u1_T5 ng
nhơ	nh o3_T1
nhơi	nh oi3_T1
nhơn	nh o3_T1 n
như	nh u2_T1
nhưng	nh u2_T1 ng
nhướng	nh ua2_T3 ng
nhường	nh ua2_T2 ng
nhược	nh ua2_T6 k
nhượng	nh ua2_T6 ng
nhạc	nh a1_T6 k
nhạn	nh a1_T6 n
nhạo	nh ao_T6
nhạt	nh a1_T6 t
nhạy	nh ay_T6
nhả	nh a1_T4
nhảy	nh ay_T4
nhấm	nh a3_T3 m
nhấp	nh a3_T3 p
nhất	nh a3_T3 t
nhầm	nh a3_T2 m
nhẫn	nh a3_T5 n
nhậm	nh a3_T6 m
nhận	nh a3_T6 n
nhập	nh a3_T6 p
nhắc	nh a2_T3 k
nhắm	nh a2_T3 m
nhắp	nh a2_T3 p
nhằm	nh a2_T2 m
nhằn	nh a2_T2 n
nhặm	nh a2_T6 m
nhặt	nh a2_T6 t
nhẹ	nh e1_T6
nhẹm	nh e1_T6 m
nhẻ	nh e1_T4
nhểu	nh eu_T4
nhện	nh e2_T6 n
nhịn	nh i_T6 n
nhịp	nh i_T6 p
nhọc	nh o1_T6 k
nhọn	nh o1_T6 n
nhỏ	nh o1_T4
nhốt	nh o2_T3 t
nhồi	nh oi2_T2
nhổ	nh o2_T4
nhớ	nh o3_T3
nhớm	nh o3_T3 m
nhớn	nh o3_T3 n
nhớp	nh o3_T3 p
nhờ	nh o3_T2
nhở	nh o3_T4
nhục	nh u1_T6 k
nhủ	nh u1_T4
nhủi	nh ui_T4
nhứ	nh u2_T3
nhức	nh u2_T3 k
nhứt	nh u2_T3 t
nhử	nh u2_T4
nhữn	nh u2_T5 n
những	nh u2_T5 ng
nhựa	nh ua2_T6
nhựng	nh u2_T6 ng
nhựt	nh u2_T6 t
ni	n i_T1
nia	n i_T1 a1_T1
nim	n i_T1 m
ninh	n i_T1 nh
niu	n iu_T1
niêm	n ie2_T1 m
niên	n ie2_T1 n
niềm	n ie2_T2 m
niệm	n ie2_T6 m
niệng	n ie2_T6 ng
no	n o2_T1
noi	n oi_T1
nom	n o1_T1 m
non	n o1_T1 n
nu	n u1_T1
nua	n ua_T1
nui	n ui_T1
num	n u1_T1 m
nun	n u1_T1 n
nung	n u1_T1 ng
nuôi	n uoi2_T1
nuông	n ua_T1 ng
nuốt	n ua_T3 t
nà	n a1_T2
nài	n ai_T2
nàn	n a1_T2 n
nàng	n a1_T2 ng
nào	n ao_T2
này	n ay_T2
nác	n a1_T3 k
nách	n a1_T3 ch
nám	n a1_T3 m
nán	n a1_T3 n
náo	n ao_T3
náp	n a1_T3 p
nát	n a1_T3 t
náu	n au_T3
náy	n ay_T3
nân	n a3_T1 n
nâng	n a3_T1 ng
nây	n ay3_T1
não	n ao_T5
nãy	n ay_T5
ném	n e1_T3 m
nén	n e1_T3 n
nép	n e1_T3 p
nét	n e1_T3 t
nê	n e2_T1
