a	a1_T1
dể	j e2_T4
dễ	j e2_T5
dị	j i_T6
dịch	j i_T6 ch
dịp	j i_T6 p
dọa	j oa_T6
dốc	j o2_T3 k
dối	j oi2_T3
dồi	j oi2_T2
dỗ	j o2_T5
dội	j oi2_T6
dời	j oi3_T2
dụ	j u1_T6
dục	j u1_T6 k
dụm	d1 u1_T6 m
dụng	j u1_T6 ng
dứt	j u2_T3 t
dừng	j u2_T2 ng
dữ	j u2_T5
dự	j u2_T6
dựa	j ua2_T6
dựng	j u2_T6 ng
e	e1_T1
easter	e2_T1 a1_T3 x t o3_T1
eastern	e2_T1 a1_T3 x t o3_T1 n
eat	e2_T1 a1_T3 t
ecuador	e1_T1 k ua_T1 d2 t o3_T1
ecuadortrong	e1_T1 k ua_T1 d2 o2_T1 d1 tr o1_T1 ng
eddine	e2_T1 d2 d1 i_T1 n e1_T1
edinburgh	e2_T1 d2 i_T1 n b ua_T1 g
eduardo	e2_T1 d2 ua_T1 o1_T1 o1_T1
edward	e2_T1 d2 ua_T1 o1_T1
edwards	e2_T1 d2 ua_T1 o1_T1 s
eftpos	e1_T1 ph t p o1_T1 s
eiffel	ay3_T1 o1_T3 ph e1_T1 n
ekin	e2_T1 k i_T1 n
el	e1_T1 n
elizabeth	e2_T1 l i_T3 s ay3_T1 b e1_T3 t t
em	e2_T1 m
email	e2_T1 m ai_T1 l
emily	e2_T1 m i_T1 l i_T1
emin	e2_T1 m i_T1 n
emmanuel	e2_T1 m m n u1_T1 eo_T1
energy	e1_T1 n e1_T3 k g i_T1
engelbert	e1_T1 ng eo_T1 b o3_T1 t
england	e1_T1 ng l a1_T1 n d2 e2_T1
english	e1_T1 ng l i_T3 x h
ennett	e1_T1 n n e1_T1 t t
entertainment	e1_T1 n t o3_T1 t ai_T1 n m e1_T1 n t
eo	eo_T1
equador	e2_T1 k ua_T1 d2 t o3_T1
erekat	e2_T1 r e2_T2 k a1_T3 t
ericsson	e2_T1 d1 i_T1 k x x o1_T1 n
ethiopia	e2_T1 th i_T1 o1_T1 p i_T1 a1_T1
ethirajan	e2_T1 th i_T1 d1 a1_T1 d1 a1_T1 n
ethnic	e2_T1 t th n i_T1 k
euporie	ua_T1 p o1_T1 r i_T3 e1_T1
ev	e2_T1 v
evan	e2_T1 j a1_T1 n
evenergi	e2_T1 v e1_T1 n e1_T3 k g i_T1
f	ph
facebook	ph a2_T3 e1_T3 p o1_T1 o1_T1 k
fahim	e1_T1 ph a1_T1 h i_T1 m
fairfield	e1_T1 ph a1_T1 i_T1 r ph i_T1 eo_T1 d2 e2_T1
falster	e1_T1 ph a1_T1 l x t o3_T1
family	e1_T1 ph a1_T1 m i_T1 l i_T1
fan	ph a1_T1 n
farm	e1_T1 ph a1_T1 d1 m
faruqi	e1_T1 ph a1_T1 r u1_T1 k i_T1
fashion	e1_T1 ph a1_T1 x i_T1 o1_T1 n
fast	e1_T1 ph a1_T1 s t
fatima	e1_T1 ph a1_T1 t i_T1 m a1_T1
fecca	ph e1_T1 k k a1_T1
federation	ph e2_T1 d2 e2_T1 d1 a1_T1 t i_T1 o1_T1 n
federica	ph e2_T1 d2 e2_T1 d1 i_T1 k a1_T1
field	ph i_T1 eo_T1 d2 e2_T1
fiji	ph i_T1 d1 i_T1
file	ph i_T1 l e1_T1
files	ph i_T1 l e1_T3 s
fiona	ph i_T1 o1_T1 n a1_T1
fisher	ph i_T1 s th e1_T1
fitzgerald	ph i_T1 t d1 g e1_T1 d1 a1_T1 n d2
florida	ph l r oi_T1 a1_T1
for	ph t o3_T1
france	ph r a1_T1 k e1_T1
francisco	ph r a1_T1 k i_T3 x k o2_T1
frank	ph r a1_T1 k
franklin	ph r a1_T1 k l i_T1 n
free	ph o2_T1 e1_T1
friday	ph r oi_T1 ay_T1
fritz	ph r i_T3 t d1
g	g
gaddafi	g a1_T1 j d2 a1_T1 ph i_T1
gai	g ai_T1
gallipoli	g a1_T1 l l i_T3 p o2_T1 l i_T1
game	g e2_T1 m
gandhi	g a1_T1 n d2 i_T1
gantz	g a1_T1 n t d1
gardiner	g a1_T1 d1 d1 i_T1 n e1_T1 r
gaulle	g a1_T1 u1_T1 n e1_T1
gavin	g a1_T1 j i_T1 n
gay	g ay_T1
gazi	g a1_T1 nh i_T1
gác	g a1_T1 k
gái	g ai_T1
gánh	g a1_T1 nh
gdđt	j i_T1 d2 i_T1 d2 t
gear	g e1_T1 a1_T1
general	g e1_T1 n e1_T1 d1 a1_T1 n
geneva	g e1_T1 n e2_T1 v a1_T1
george	g e1_T1 o2_T1 g e1_T1
georges	g e1_T1 o2_T1 g e1_T1 s
getup	g e1_T1 t u1_T1 p
ghadafi	g a1_T1 j a1_T1 ph i_T1
ghazar	g a1_T1 d1 a1_T1
ghazarian	g a1_T1 d1 r i_T1 a1_T1 n
ghét	g e1_T1 t
ghi	g i_T1
ghim	g i_T1 m
ghnouno	g n o2_T1 u1_T1 n o2_T1
ghé	g e1_T3
ghép	g e1_T3 p
ghét	g e1_T3 t
ghê	g e2_T1
ghẹo	g eo_T6
ghế	g e2_T3
ghề	g e2_T2
gi	j
gia	j a1_T1
giai	j ai_T1
giam	j a1_T1 m
gian	j a1_T1 n
giang	j a1_T1 ng
giao	j ao_T1
giàn	j a1_T1 n
giành	j a1_T1 nh
giàu	j au_T1
giác	j a1_T1 k
giám	j a1_T1 m
gián	j a1_T1 n
giáo	j ao_T1
giải	j ai_T1
giảm	j a1_T1 m
giản	j a1_T1 n
giảng	j a1_T1 ng
gieo	j eo_T1
gillard	j n a1_T1 d2 e2_T1
giỏi	j oi_T1
girls	j r l s
giun	d1 u1_T1 n
giúp	j u1_T1 p
giục	j u1_T1 k
già	j a1_T2
giành	j a1_T2 nh
giàu	j au_T2
giày	j ay_T2
giá	j a1_T3
giác	j a1_T3 k
giám	j a1_T3 m
gián	j a1_T3 n
giáng	j a1_T3 ng
giáo	j ao_T3
giáp	j a1_T3 p
giây	j ay3_T1
giấu	j au3_T1
giận	j a3_T1 n
giêng	j e2_T1 ng
gió	j o1_T3
giống	j o2_T1 ng
giùm	j u1_T2 m
giúp	j u1_T3 p
giăm	j a2_T1 m
giăng	j a2_T1 ng
giơ	j o3_T1
giới	j oi3_T1
giư	j u2_T1
giữa	j ua2_T1
giường	j ua2_T2 ng
gìn	j n
giả	j a1_T4
giải	j ai_T4
giảm	j a1_T4 m
giản	j a1_T4 n
giảng	j a1_T4 ng
giấc	j a3_T3 k
giấu	j au3_T3
giấy	j ay3_T3
giận	j a3_T6 n
giật	j a3_T6 t
giặt	j a2_T6 t
giết	j e2_T3 t
giềng	j e2_T2 ng
giọng	j o1_T6 ng
giỏi	j oi_T4
giống	j o2_T3 ng
giới	j oi3_T3
giờ	j o3_T2
giỡn	j o3_T5 n
giữ	j u2_T5
giữa	j ua2_T5
giựt	j u2_T6 t
global	g l o2_T1 b a1_T1 l
glory	g l o2_T1 r i_T1
good	g o1_T1 o1_T1 d1
google	g o1_T1 o1_T1 g l e1_T1
gothic	g o1_T3 h i_T1 k
gov	g o2_T3 p v
góp	g o1_T1 p
gọi	g oi_T1
gps	g p s
graham	g r a1_T1 h a1_T1 m
grandma	g d1 a1_T1 n d2 m
grantz	g r a1_T1 t d1
greg	g r e2_T1 g
greham	g o2_T1 h a1_T1 m
group	g r o2_T1 u1_T1 p
gs	g s
guaidó	g ua_T1 oi_T1 o1_T3
guine	g i_T1 n e1_T1
guinea	g i_T1 e2_T1 a1_T1
guitar	g ui_T1 t a1_T1 r
gunasekara	g n a1_T3 x e1_T3 k a1_T1 d1 a1_T1
guns	g n s
gũi	g ui_T1
guồng	g ua_T2 ng
gác	g a1_T3 k
gái	g ai_T3
gánh	g a1_T3 nh
gây	g ay3_T1
gần	g a3_T1 n
gấp	g a3_T1 p
gã	g a1_T5
gì	g i_T2
gò	g o1_T2
gòn	g o1_T2 n
góc	g o1_T3 k
gói	g oi_T3
góp	g o1_T3 p
gồm	g o2_T1 m
gồn	g o2_T1 n
gốc	g o2_T1 k
gắn	g a2_T1 n
gặp	g a2_T1 p
gũi	g ui_T5
gơ	g o3_T1
gởi	g oi3_T1
gương	g ua2_T1 ng
gường	g ua2_T2 ng
gạo	g ao_T6
gấp	g a3_T3 p
gầm	g a3_T2 m
gần	g a3_T2 n
gầy	g ay3_T2
gắn	g a2_T3 n
gắng	g a2_T3 ng
gắp	g a2_T3 p
gặn	g a2_T6 n
gặp	g a2_T6 p
gỉai	g i_T4 ai_T1
gọi	g oi_T6
gọng	g o1_T6 ng
gốc	g o2_T3 k
gồ	g o2_T2
gồm	g o2_T2 m
gởi	g oi3_T4
gỡ	g o3_T5
gợi	g oi3_T6
gửi	g ui2_T4
h	h
ha	h a1_T1
haftar	h a1_T1 ph t a1_T1
hai	h ai_T1
haluk	h a1_T1 l u1_T1 k
hang	h a1_T1 ng
hanrahan	h a1_T1 n d1 a1_T1 h a1_T1 n
harman	h a1_T1 d1 m a1_T1 n
harmony	h a1_T1 d1 m o1_T1 n i_T1
harrop	h a1_T1 d1 r o1_T1 p
harry	h a1_T1 d1 r i_T1
harvey	h a1_T1 d1 v e2_T1 i_T1
hastag	h a1_T1 s t a1_T1 g
hawl	h a1_T1 n
hay	h ay_T1
hayley	h ay_T1 l e1_T3 i_T1
hài	h ai_T1
hàn	h a1_T1 n
hàng	h a1_T1 ng
hành	h a1_T1 nh
hái	h ai_T1
hán	h a1_T1 n
hát	h a1_T1 t
hãi	h ai_T1
hãm	h a1_T1 m
hãn	h a1_T1 n
hãnh	h a1_T1 nh
hãy	h ay_T1
hải	h ai_T1
hảo	h ao_T1
hại	h ai_T1
hạn	h a1_T1 n
hạng	h a1_T1 ng
hạnh	h a1_T1 nh
hcm	h k m
headspace	h e1_T1 a1_T1 s p e2_T1 a2_T3 e1_T1
helpline	h eo_T1 p o3_T2 l i_T1 n e1_T1
hèn	h e1_T1 n
hẹn	h e1_T1 n
higgins	h i_T1 j i_T1 d1 i_T1 n s
hilary	h i_T1 l a1_T1 r i_T1
hilson	h i_T1 l x o1_T1 n
hiv	h i_T1 v
hiên	h ie2_T1 n
hiền	h ie2_T1 n
hiếm	h ie2_T1 m
hiến	h ie2_T1 n
hiếp	h ie2_T1 p
hiếu	h ieu_T1
hiểm	h ie2_T1 m
hiểu	h ieu_T1
hiện	h ie2_T1 n
hiệp	h ie2_T1 p
hiệu	h ieu_T1
hình	h i_T1 nh
hiếm	h ie2_T3 m
hiến	h ie2_T3 n
hiết	h ie2_T3 t
hiếu	h ieu_T3
hiềm	h ie2_T2 m
hiền	h ie2_T2 n
hiểm	h ie2_T4 m
hiển	h ie2_T4 n
hiểu	h ieu_T4
hiện	h ie2_T6 n
hiệp	h ie2_T6 p
hiệu	h ieu_T6
ho	h o1_T1
hoa	h oa_T1
hoan	h oa_T1 n
hoang	h oa_T1 ng
hoax	h oa_T1 x
hoay	h oa_T1 i_T1
hoàn	h oa_T1 n
hoàng	h oa_T1 ng
hoãn	h oa_T1 n
hoảng	h oa_T1 ng
hoạch	h oa_T1 ch
hoại	h oa_T1 i_T1
hoạn	h oa_T1 n
hoạt	h oa_T1 t
hobart	h o1_T1 b a1_T1 a1_T1
hoda	h o1_T1 j a1_T1
hoi	h oi_T1
hong	h o1_T1 ng
hoọc	h o1_T3 k
hotspur	h o1_T1 t s p e2_T1 oa_T1
hoà	h oa_T2
hoài	h oa_T2 i_T1
hoàn	h oa_T2 n
hoàng	h oa_T2 ng
hoành	h oa_T2 nh
hoá	h oa_T3
hoãn	h oa_T5 n
hoặc	h o1_T1 a2_T1 k
hòa	h oa_T1
hòn	h o1_T1 n
hóa	h oa_T1
hỏa	h oa_T1
hỏi	h oi_T1
họa	h oa_T1
học	h o1_T1 k
họcái	h o1_T1 k ai_T1
họng	h o1_T1 ng
họp	h o1_T1 p
hoạch	h oa_T6 ch
hoại	h oa_T6 i_T1
hoạn	h oa_T6 n
hoạt	h oa_T6 t
hoảng	h oa_T4 ng
hoặc	h o1_T1 a2_T6 k
hrafnsson	h d1 a1_T1 ph n x x o1_T1 n
hu	h u1_T1
hughes	h u1_T1 g e1_T1 s
humzeh	h u1_T1 m x e2_T1 t
hung	h u1_T1 ng
hunt	h u1_T1 n t
hussein	h u1_T1 s x e2_T1 i_T1 n
huu	h u1_T1 u1_T1
huy	h uy_T1
huynh	h uy_T1 nh
huyên	h uy_T1 e2_T1 n
huỳnh	h uy_T1 nh
huyết	h uy_T1 e2_T3 t
huyền	h uy_T1 e2_T2 n
huấn	h u1_T1 a3_T1 n
huống	h ua_T1 ng
huýt	h uy_T3 t
huơng	h u1_T1 o3_T1 ng
hủy	h uy_T1
huấn	h ua_T3 n
huống	h ua_T3 ng
huỳnh	h uy_T2 nh
hy	h i_T1
hà	h a1_T2
hài	h ai_T2
hàn	h a1_T2 n
hàng	h a1_T2 ng
hành	h a1_T2 nh
hào	h ao_T2
hách	h a1_T3 ch
hái	h ai_T3
hán	h a1_T3 n
háo	h ao_T3
hát	h a1_T3 t
hâm	h a3_T1 m
hân	h a3_T1 n
hầm	h a3_T1 m
hầu	h au3_T1
hận	h a3_T1 n
hậu	h au3_T1
hãi	h ai_T5
hãng	h a1_T5 ng
hãnh	h a1_T5 nh
hãy	h ay_T5
hè	h e1_T2
hèn	h e1_T2 n
hé	h e1_T3
hét	h e1_T3 t
hê	h e2_T1
hết	h e2_T1 t
hình	h i_T2 nh
hòa	h oa_T2
hòn	h o1_T2 n
hóa	h oa_T3
hô	h o2_T1
hôm	h o2_T1 m
hôn	h o2_T1 n
hồi	h oi2_T1
hồng	h o2_T1 ng
hỗn	h o2_T1 n
hội	h oi2_T1
hùng	h u1_T2 ng
hút	h u1_T3 t
hăng	h a2_T1 ng
hẵn	h a2_T1 n
hđnd	h d2 n d2 e2_T1
hđtp	h d2 t p
hơ	h o3_T1
hơi	h oi3_T1
hơn	h o3_T1 n
hợp	h o3_T1 p
hư	h u2_T1
hưng	h u2_T1 ng
hưu	h uu2_T1
hương	h ua2_T1 ng
hướng	h ua2_T1 ng
hưởng	h ua2_T1 ng
hứa	h ua2_T1
hữu	h uu2_T1
hước	h ua2_T3 k
hướng	h ua2_T3 ng
hưởng	h ua2_T4 ng
hạ	h a1_T6
hại	h ai_T6
hạn	h a1_T6 n
hạng	h a1_T6 ng
hạnh	h a1_T6 nh
hạt	h a1_T6 t
hả	h a1_T4
hải	h ai_T4
hảnh	h a1_T4 nh
hấn	h a3_T3 n
hấp	h a3_T3 p
hầm	h a3_T2 m
hầu	h au3_T2
hậu	h au3_T6
hậy	h ay3_T6
hắn	h a2_T3 n
hằn	h a2_T2 n
hằng	h a2_T2 ng
hẳn	h a2_T4 n
hẹn	h e1_T6 n
hẻm	h e1_T4 m
hẻo	h eo_T4
hết	h e2_T3 t
hề	h e2_T2
hển	h e2_T4 n
hệ	h e2_T6
hỉ	h i_T4
họ	h o1_T6
họa	h oa_T6
học	h o1_T6 k
họp	h o1_T6 p
hỏa	h oa_T4
hỏi	h oi_T4
hố	h o2_T3
hối	h oi2_T3
hồ	h o2_T2
hồi	h oi2_T2
hồn	h o2_T2 n
hồng	h o2_T2 ng
hổ	h o2_T4
hổn	h o2_T4 n
hổng	h o2_T4 ng
hỗ	h o2_T5
hỗn	h o2_T5 n
hộ	h o2_T6
hội	h oi2_T6
hời	h oi3_T2
hợp	h o3_T6 p
hợt	h o3_T6 t
hụt	h u1_T6 t
hủy	h uy_T4
hứa	h ua2_T3
hức	h u2_T3 k
hứng	h u2_T3 ng
hữu	h uu2_T5
hực	h u2_T6 k
i	i_T1
ian	i_T1 a1_T1 n
iceland	i_T1 k e2_T1 l a1_T1 n d2 e2_T1
identity	oi_T1 e1_T1 n t i_T1 t i_T1
idlib	oi_T1 l i_T1 b
ihor	ai_T1 o1_T3 t o3_T1
ilhan	h a1_T1 n
im	i_T1 m
in	i_T1 n
indira	i_T1 n j i_T1 d1 a1_T1
indonesia	i_T1 n j o1_T1 n e1_T1 s i_T1 a1_T1
industrial	i_T1 n d2 u1_T3 tr i_T1 a1_T1 n
initiative	i_T1 n i_T1 t i_T1 a1_T1 t i_T1 j e1_T1
insight	i_T1 n s i_T1 j i_T1 h t
international	i_T1 n t e1_T1 r n a1_T1 t i_T1 o1_T1 n a1_T1 l
internet	i_T1 n t e1_T1 r n e1_T1 t
iraq	i_T1 d1 a1_T1 k
iron	i_T1 d1 o1_T1 n
irrigation	i_T1 d1 r i_T1 j i_T1 a1_T1 t i_T1 o1_T1 n
is	i_T1 s
isabella	i_T1 s a1_T1 b eo_T1 l a1_T1
isis	i_T1 s i_T1 s
island	i_T1 s l a1_T1 n d2 e2_T1
islands	i_T1 s l a1_T1 n d2 s
israel	i_T1 s d1 a1_T1 eo_T1
ích	ai_T1 ch
ít	i_T1 t
jacinda	j a2_T3 i_T1 n j a1_T1
jackson	j a2_T3 k x o1_T1 n
jaison	j ai_T1 x o1_T1 n
jakarta	j a1_T1 k a1_T1 r t a1_T1
jama	j a1_T1 m a1_T1
jamaath	j a1_T1 m a1_T3 a1_T1 t t
james	j e2_T1 m s
jasarevic	j a1_T3 x a1_T1 r e2_T1 j i_T1 k
jateff	j e2_T3 t o1_T3 ph
jaylani	j ay_T1 l a1_T1 n i_T1
jazeera	j a1_T1 x e2_T1 e2_T1 d1 a1_T1
jean	j i_T1 n
jeff	j o1_T3 ph
jelena	j l e1_T1 n a1_T1
jennifer	j n i_T1 ph e1_T1 r
jeremiah	j o2_T1 m i_T1 a1_T1 h
jeremy	j o2_T1 m i_T1
jeronimuc	j r o2_T1 n i_T1 m u1_T1 k
jeronimus	j r o2_T1 n i_T1 m u1_T1 s
jerry	j d1 r i_T1
jessica	j e1_T3 s i_T1 k a1_T1
jesus	j e1_T3 x u1_T1 s
jill	d1 i_T1 n
job	j o2_T1 b
john	j o2_T1 h n
joko	j o2_T1 k o2_T1
jokowi	j o2_T1 k o2_T1 o1_T1 ai_T1
joseph	j o2_T1 x e1_T3 ph
josh	j o2_T1 s h
joyce	j o2_T1 i_T1 k e1_T1
juan	j ua_T1 n
julia	j u1_T1 l i_T1 a1_T1
julian	j u1_T1 l i_T1 a1_T1 n
juwita	j u1_T1 o1_T1 i_T1 t a1_T1
k	k
kamran	k a1_T1 m r a1_T1 n
kapadia	k a1_T1 p a1_T1 j i_T1 a1_T1
karakoc	k a1_T1 d1 a1_T1 k o1_T1 k
karen	k a1_T1 r e1_T1 n
karttunaykka	k a1_T1 d1 t e2_T1 t e2_T1 u1_T1 n ay_T1 k k a1_T1
katherine	k a1_T1 t th e1_T1 i_T1 n e1_T1
kathleen	k a1_T1 t th l e1_T3 e1_T1 n
katrina	k a1_T1 t d1 i_T1 n a1_T1
ke	k e1_T1
kelly	k e1_T1 eo_T1 i_T1
kellyanne	k e1_T1 eo_T1 i_T1 a1_T1 n e1_T1
kellyglen	k e1_T1 eo_T1 i_T1 g l e1_T1 n
kemel	k e1_T1 m e1_T1 n
kennedy	k e1_T1 n n e2_T1 d2 i_T1
kerala	k e1_T1 d1 a1_T1 l a1_T1
kevin	k e1_T1 j i_T1 n
kèm	k e1_T1 m
kém	k e1_T1 m
kéo	k eo_T1
kẹt	k e1_T1 t
kha	kh a1_T1
khai	kh ai_T1
khaled	kh a1_T1 l e1_T3 d2 e2_T1
khalifa	kh a1_T1 l i_T1 ph a1_T1
khan	kh a1_T1 n
kharel	kh a1_T1 r e1_T1 n
khartoum	kh a1_T1 r t u1_T1 m
khác	kh a1_T1 k
khách	kh a1_T1 ch
khám	kh a1_T1 m
khát	kh a1_T1 t
khe	kh e1_T1
khen	kh e1_T1 n
khét	kh e1_T1 t
khi	kh i_T1
khinh	kh i_T1 nh
khiến	kh ie2_T1 n
khiếp	kh ie2_T1 p
khích	kh i_T1 ch
khiến	kh ie2_T3 n
khiếu	kh ieu_T3
kho	kh o1_T1
khoa	kh oa_T1
khoan	kh oa_T1 n
khoát	kh oa_T1 t
khoản	kh oa_T1 n
khoảng	kh oa_T1 ng
khóc	kh o1_T1 k
khỏe	kh oe_T1
khỏi	kh oi_T1
khoản	kh oa_T4 n
khoảng	kh oa_T4 ng
khoảnh	kh oa_T4 nh
khu	kh u1_T1
khung	kh u1_T1 ng
khuynh	kh uy_T1 nh
khuyên	kh uy_T1 e2_T1 n
khuyến	kh uy_T1 e2_T1 n
khuyến	kh uy_T1 e2_T3 n
khuât	kh u1_T1 a3_T1 t
khuôn	kh ua_T1 n
khủng	kh u1_T1 ng
khuấy	kh ua_T3 i_T1
khá	kh a1_T3
khác	kh a1_T3 k
khách	kh a1_T3 ch
khái	kh ai_T3
khám	kh a1_T3 m
khán	kh a1_T3 n
kháng	kh a1_T3 ng
khâu	kh au3_T1
khấu	kh au3_T1
khẩn	kh a3_T1 n
khép	kh e1_T3 p
khét	kh e1_T3 t
khêu	kh e2_T1 u1_T1
khí	kh i_T3
khía	kh i_T3 a1_T1
khích	kh i_T3 ch
khó	kh o1_T3
khóa	kh oa_T3
khóc	kh o1_T3 k
khói	kh oi_T3
khô	kh o2_T1
khôi	kh oi2_T1
không	kh o2_T1 ng
khốc	kh o2_T1 k
khống	kh o2_T1 ng
khổng	kh o2_T1 ng
khăm	kh a2_T1 m
khăn	kh a2_T1 n
khắc	kh a2_T1 k
khắp	kh a2_T1 p
khơi	kh oi3_T1
khởi	kh oi3_T1
khư	kh u2_T1
khả	kh a1_T4
khải	kh ai_T4
khảm	kh a1_T4 m
khảo	kh ao_T4
khấy	kh ay3_T3
khẩn	kh a3_T4 n
khẩu	kh au3_T4
khắc	kh a2_T3 k
khắp	kh a2_T3 p
khẳng	kh a2_T4 ng
khỏe	kh oe_T4
khỏi	kh oi_T4
khố	kh o2_T3
khốc	kh o2_T3 k
khống	kh o2_T3 ng
khổ	kh o2_T4
khổng	kh o2_T4 ng
khớp	kh o3_T3 p
khởi	kh oi3_T4
khủng	kh u1_T4 ng
khứ	kh u2_T3
ki	k i_T1
kia	k ie2_T1
kids	k oi_T1 s
kim	k i_T1 m
kinda	k i_T1 n j a1_T1
kinh	k i_T1 nh
kitô	k i_T1 t o2_T1
kiêm	k ie2_T1 m
kiên	k ie2_T1 n
kiếm	k ie2_T1 m
kiến	k ie2_T1 n
kiểm	k ie2_T1 m
kiểu	k ieu_T1
kiệm	k ie2_T1 m
kiện	k ie2_T1 n
kích	k i_T1 ch
kín	k i_T1 n
kính	k i_T1 nh
kịch	k i_T1 ch
kiếm	k ie2_T3 m
kiến	k ie2_T3 n
kiểm	k ie2_T4 m
kiểu	k ieu_T4
kiệm	k ie2_T6 m
kiện	k ie2_T6 n
kiệt	k ie2_T6 t
km	k m
knesset	k n e1_T3 s e1_T1 t
knight	k n i_T1 j i_T1 h t
knih	k n i_T1 t
knox	k n o1_T1 x
kobashi	k o2_T1 b a1_T1 x i_T1
kober	k o2_T1 b o3_T2
kolomoisky	k o2_T1 l o2_T1 m oi_T1 s k i_T1
kong	k o2_T1 ng
korhan	k o2_T1 d1 h a1_T1 n
kota	k o1_T1 t a1_T1
kretsinger	k r e1_T3 t s i_T1 ng o3_T2
kristinn	k r i_T3 s t i_T1 n n
ksnd	k x n d2 e2_T1
kucuksakalli	k u1_T1 k u1_T1 k s k a1_T1 l l i_T1
ky	k i_T1
kym	k i_T1 m
kèm	k e1_T2 m
kém	k e1_T3 m
kéo	k eo_T3
kê	k e2_T1
kêu	k e2_T1 u1_T1
kết	k e2_T1 t
kích	k i_T3 ch
kín	k i_T3 n
kính	k i_T3 nh
kông	k o2_T1 ng
ký	k i_T3
kẹt	k e1_T6 t
kẻ	k e1_T4
kế	k e2_T3
kết	k e2_T3 t
kềm	k e2_T2 m
kể	k e2_T4
kịch	k i_T6 ch
kịp	k i_T6 p
kịt	k i_T6 t
kỳ	k i_T2
kỷ	k i_T4
kỹ	k i_T5
l	l
la	l a1_T1
lab	l a1_T1 b i_T1
lahore	l a1_T1 h o1_T1 r e1_T1
lai	l ai_T1
lal	l a1_T1 n
lamoin	l a1_T1 m oi_T1 n
lan	l a1_T1 n
lang	l a1_T1 ng
lanka	l a1_T1 n k a1_T1
lankan	l a1_T1 n k a1_T1 n
lao	l ao_T1
latrobe	l a1_T1 t d1 o2_T1 b e1_T1
latvia	l a1_T1 t v i_T1 a1_T1
launceston	l au_T1 n e1_T3 s t o1_T1 n
law	l a1_T1
lay	l ay_T1
làm	l a1_T1 m
làng	l a1_T1 ng
lái	l ai_T1
lãng	l a1_T1 ng
lãnh	l a1_T1 nh
lạc	l a1_T1 k
lại	l ai_T1
le	l e1_T1
leadership	l e1_T1 a1_T1 o3_T1 s h i_T1 p
league	l e1_T1 a1_T1 g o2_T1
learning	l e1_T1 a1_T1 n i_T1 ng
legal	l e2_T1 g a1_T1 l
legan	l e2_T1 g a1_T1 n
len	l e1_T1 n
lenin	l e1_T1 n i_T1 n
leo	l eo_T1
lèo	l eo_T1
lẻo	l eo_T1
lgbtqi	l g b t k i_T1
lhq	l h k uy_T1
li	l i_T1
libya	l i_T1 b i_T1 a1_T1
libyan	l i_T1 b i_T1 a1_T1 n
lidcombe	l oi_T1 k o2_T1 m b e1_T1
life	l i_T1 ph e1_T1
like	l i_T3 k e1_T1
likud	l i_T3 k u1_T1 d2 e2_T1
lily	l i_T1 l i_T1
lim	l i_T1 m
lin	l i_T1 n
linh	l i_T1 nh
lisa	l i_T1 s a1_T1
littleproud	l i_T3 t t l e2_T2 p r o2_T2 u1_T1 d2 e2_T1
liz	l i_T3 s
liêm	l ie2_T1 m
liên	l ie2_T1 n
liêu	l ieu_T1
liền	l ie2_T1 n
liệt	l ie2_T1 t
liệu	l ieu_T1
lính	l i_T1 nh
líu	l iu_T1
lĩnh	l i_T1 nh
lịch	l i_T3 ch
liếm	l ie2_T3 m
liệt	l ie2_T6 t
liệu	l ieu_T6
lna	l n a1_T1
lnaka	l n a1_T3 k a1_T1
lo	l o1_T1
loan	l oa_T1 n
loanh	l oa_T1 nh
loay	l oa_T1 i_T1
loài	l oa_T1 i_T1
loại	l oa_T1 i_T1
loạn	l oa_T1 n
loạt	l oa_T1 t
lobby	l o1_T1 b b i_T1
lodge	l o1_T1 j g e1_T1
loi	l oi_T1
london	l o1_T1 n j o1_T1 n
long	l o1_T1 ng
longwood	l o1_T1 ng o1_T1 o1_T1 o1_T1 d1
lord	l o1_T1 o1_T1
lost	l o1_T1 s t
louis	l o1_T1 ui_T1 s
louisa	l o1_T1 ui_T1 s a1_T1
lowcock	l au3_T1 k o2_T3 k
loài	l oa_T2 i_T1
lòng	l o1_T1 ng
lỏng	l o1_T1 ng
lọc	l o1_T1 k
lọt	l o1_T1 t
loại	l oa_T6 i_T1
loạn	l oa_T6 n
loạt	l oa_T6 t
lui	l ui_T1
lung	l u1_T1 ng
luyện	l uy_T1 e2_T1 n
luyện	l uy_T1 e2_T6 n
luân	l u1_T1 a3_T1 n
luận	l u1_T1 a3_T1 n
luật	l u1_T1 a3_T1 t
luôn	l ua_T1 n
lúc	l u1_T1 k
lục	l u1_T1 k
lụt	l u1_T1 t
luận	l ua_T6 n
luật	l ua_T6 t
ly	l i_T1
lybia	l i_T1 b i_T1 a1_T1
lynham	l i_T1 nh a1_T1 m
là	l a1_T2
làm	l a1_T2 m
làn	l a1_T2 n
làng	l a1_T2 ng
lành	l a1_T2 nh
lá	l a1_T3
lái	l ai_T3
láng	l a1_T3 ng
lánh	l a1_T3 nh
lâm	l a3_T1 m
lân	l a3_T1 n
lâu	l au3_T1
lây	l ay3_T1
lầm	l a3_T1 m
lần	l a3_T1 n
lấy	l ay3_T1
lập	l a3_T1 p
lật	l a3_T1 t
lãng	l a1_T5 ng
lãnh	l a1_T5 nh
lão	l ao_T5
lén	l e1_T3 n
lê	l e2_T1
lêm	l e2_T1 m
lên	l e2_T1 n
